ICRF J214335.5+174348  2141+175    0.47     8.6     1.4    0.65    0.27    0.19    0.10    12.3   240
ICRF J094855.3+403944  0945+408    0.53     1.8   -14.0    1.65    0.59    1.34    0.63    25.1    51
ICRF J144815.0-162024  1445-161    0.59     4.4    33.9    1.09    1.04    0.52    0.15    27.0    34
ICRF J022928.4-364356  0227-369    0.77   -55.1   -93.8    1.44    0.75    0.00    0.00    14.5    64
ICRF J034506.4+145349  0342+147    0.50     9.7    -6.6    0.31    0.55    0.31    0.08    28.4    50
ICRF J085441.9+575729  0850+581    0.54     8.3     6.2    0.99    0.35    0.25    0.06    18.0    22
ICRF J170934.3-172853  1706-174    0.66   -18.6    -6.7    1.82    0.78    0.44    0.34    25.9   142
ICRF J160734.7-333108  1604-333    0.79   -14.1   -40.5    4.22    1.18    4.71    0.26    24.3    50
ICRF J021748.9+014449  0215+015    0.54    -5.5     5.7    0.21    0.36    0.07    0.08    25.5   241
ICRF J102311.5+394815  1020+400    0.55     5.2     8.4    0.78    0.39    0.00    0.00    22.8    29
ICRF J054138.0-054149  0539-057    0.66   -23.9    11.1    0.40    0.97    0.16    0.62    22.9    36
ICRF J235600.6-682003  2353-686    0.81     8.3    30.0    3.63    0.56    1.31    0.12    28.5    53
ICRF J005748.8+302108  0055+300    0.57   -71.1   -49.5    0.55    0.80    0.19    0.30    19.7    22
ICRF J030826.2+040639  0305+039    0.58    -1.1   -17.1    0.51    0.75    0.19    0.13    13.8    32
ICRF J233138.6-155657  2329-162    0.67    15.3    14.2    1.50    0.48    0.43    0.10    25.9    35
ICRF J023653.2-613615  0235-618    0.85    93.3     9.2    0.88    0.74    0.30    0.41    11.8    31
ICRF J020333.3+723253  0159+723    0.58     8.2    -3.2    0.31    0.36    0.23    0.19    28.8    61
ICRF J115019.2+241753  1147+245    0.59    -0.9    -9.6    0.35    0.24    0.19    0.08    24.3    55
ICRF J232331.9-031705  2320-035    0.68   -36.6    10.0    0.81    1.25    0.27    0.56    23.3    71
ICRF J220743.7-534633  2204-540    0.85    13.6   -27.1    4.77    0.58    2.30    0.47    28.8    72
