## This list was generated at 2016-10-26 00:15:28
##format:
##soure  Num_ave    R.A.                 Decl.            
##                mean  Std  AStd WAd | mean  Std  AStd WAd
## Num_ave: Number of one-year average points
## unit: deg for mean while mas for the others
0229+131   31      37.9412       0.4117       0.0730       0.0693      13.3819       0.6220       0.1711       0.1072
0230-790   10      37.3956       0.5154       0.4385       0.1283     -78.7960       0.4909       0.2575       0.2953
0234+285   33      39.4684       0.5224       0.5703       0.1171      28.8025       0.7334       0.2647       0.1146
0234-301    5      39.1299       0.6117       0.5245       0.4360     -29.8988       1.1027       0.4983       0.2967
0235-618    4      39.2219       0.8772       0.3282       0.3016     -61.6042       0.7421       0.3895       0.4080
0237+040    3      39.9636       0.3139       0.0224       0.0219       4.2726       0.6604       0.0056       0.0055
0237-027    9      39.9395       0.3789       0.2008       0.0989      -2.5780       0.6411       0.0989       0.1641
0238-084   11      40.2700       0.5821       0.2618       0.2554      -8.2558       0.7601       0.1866       0.1611
0239+108   13      40.6215       0.3860       0.7893       0.0493      11.0169       0.6386       0.8632       0.1035
0239+175    3      40.6011       0.8191       0.1614       0.1614      17.7163       1.0416       0.1472       0.1472
0241+622    2      41.2404       0.8002       0.1614       0.0000      62.4685       1.2659       0.1472       0.0000
0252-549    4      43.3716       0.6979       0.3137       0.3129     -54.6976       0.7066       0.2412       0.2903
0256+075    6      44.8628       0.3043       0.1957       0.0764       7.7943       0.7362       0.3389       0.0911
0256-005    6      44.8688       0.2631       0.1345       0.0825      -0.3333       0.3970       0.4747       0.0993
0300+470   22      45.8968       0.5640       0.1983       0.1551      47.2712       0.5476       0.2051       0.1096
0302+625    9      46.6777       0.4597       0.2228       0.0631      62.7172       0.3860       0.2754       0.1682
0302-623   10      45.9610       2.2476       9.5442       5.8447     -62.1904       1.8864       5.8193       3.3258
0305+039    4      47.1093       0.5134       0.1558       0.1858       4.1109       0.7546       0.1311       0.1288
0306+102   17      47.2651       0.3627       0.2436       0.1772      10.4879       0.6368       0.5123       0.3118
