#----------------------------------------------------------------------------
#Method  s_RA   +/-   f_RA   +/-    s_Dec   +/-   f_Dec   +/-
#        (mas) (mas)                (mas)  (mas)
#----------------------------------------------------------------------------
DSM     1.429   -    0.020   -      1.340   -     0.023   -
SBL     1.291 0.065  0.009 0.013    1.182 0.027   0.012 0.007
