#  Radio source position difference from decimation tests (Clean sample)
#  Columns  Units   Meaning
#     1      -      IVS designation
#     2     deg     Right ascension(odd session)
#     3     deg     Declination(odd session)
#     4     mas     Difference of RA*cos(Dec)
#     5     mas     Difference of Declination
#     6     mas     Formal uncertainty of difference in RA*cos(Dec)
#     7     mas     Formal uncertainty of difference in declination
#     8     mas     Minimum semi-major axis of error ellipse
#     9     mas     Angular separation
#    10      -      Normalized separation
#    10      -      Mean number of sessions in two solutions
#    11      -      Mean number of observations in two solutions
#  Created date: 27/04/2020 by decimation_solution_xmatch.ipynb.
#  Original data: ../data/deci-test{1,2}b.cat
 0130-171   23.1811977633  -16.9134783433     +0.0513     -0.0922      0.1096      0.0978      0.0713      0.1055    1.02      22       256 
 0131-522   23.2740104212  -52.0010959370     -0.0532     +0.0871      0.0273      0.0355      0.0250      0.1021    3.33     147      2915 
 0133+476   24.2441450287  +47.8580833575     +0.0217     +0.0061      0.0064      0.0075      0.0053      0.0226    3.53    1037    107584 
 0134+311   24.2863901474  +31.3766265363     +0.0184     +0.0144      0.0201      0.0295      0.0207      0.0234    1.01     202      4717 
 0135-247   24.4097768551  -24.5149681997     -0.0118     -0.0580      0.0792      0.0914      0.0634      0.0591    0.65      23       520 
 0137+012   24.9887740835   +1.5294829856     +0.1386     -0.1271      0.0932      0.1409      0.0943      0.1880    1.62      11       284 
 0138-097   25.3576340022   -9.4787983954     -0.0135     -0.0274      0.0476      0.0517      0.0362      0.0305    0.59      42      1201 
 0146+056   27.3432120382   +5.9315468407     +0.0476     +0.0529      0.0592      0.1011      0.0608      0.0712    1.15      32       553 
 0148+274   27.8631090761  +27.7449426759     +0.0016     -0.0619      0.0813      0.1018      0.0611      0.0619    0.62      12       564 
 0149+218   28.0752460099  +22.1188055064     -0.0574     +0.0245      0.0331      0.0423      0.0282      0.0624    1.79      54      1377 
 0150-334   28.2921739048  -33.1738504814     -0.2245     +0.4489      0.2789      0.1878      0.1549      0.5019    2.39      16       116 
 0151+474   28.7345412025  +47.7240387860     +0.0184     +0.0518      0.0246      0.0315      0.0219      0.0550    1.82      76      2504 
 0153+744   29.3956869423  +74.7120082672     -0.2422     -0.1444      0.1529      0.1358      0.0699      0.2820    1.83      13       351 
 0159+723   30.8891040017  +72.5482409258     -0.0106     -0.0144      0.0328      0.0319      0.0234      0.0179    0.54      33      1764 
 0201+113   30.9444044190  +11.5792804169     +0.0370     +0.0346      0.0144      0.0231      0.0155      0.0507    3.21     484      9003 
 0202+319   31.2705223510  +32.2083598570     +0.0101     +0.0130      0.0081      0.0092      0.0064      0.0164    1.87     258     37592 
 0202-172   31.2403097283  -17.0221779931     -0.0282     -0.1584      0.0318      0.0579      0.0258      0.1609    2.85      58      1884 
 0206+136   32.3999930255  +13.8668755136     -0.0063     +0.0126      0.0369      0.0566      0.0349      0.0141    0.27      46      1425 
 0211+171   33.6871369001  +17.3804198436     +0.2546     -0.3672      0.1132      0.2071      0.1470      0.4468    2.63       9       328 
 0212-620   33.5675179562  -61.8260164373     +0.0498     +0.3316      0.1495      0.1986      0.1387      0.3353    1.71       5       128 
 0215+015   34.4539781382   +1.7471386288     +0.0180     +0.0338      0.0135      0.0151      0.0105      0.0383    2.62     138      8762 
 0219+428   35.6650478939  +43.0354997185     +0.0089     +0.1087      0.0533      0.0725      0.0467      0.1091    1.51      12       529 
 0220-349   35.7350068791  -34.6913139308     +0.1072     +0.0400      0.0630      0.0945      0.0622      0.1144    1.73      31       670 
 0221+067   36.1184508082   +6.9898170963     +0.0432     +0.0079      0.0346      0.0386      0.0242      0.0440    1.30      63      1636 
 0227-369   37.3685377628  -36.7324506217     +0.0222     +0.0684      0.0577      0.0739      0.0510      0.0719    1.08      62       895 
 0229+131   37.9412252420  +13.3818656409     +0.0070     -0.0050      0.0083      0.0105      0.0074      0.0086    0.98    1544     52740 
 0230-790   37.3956108750  -78.7960005004     -0.0169     -0.0248      0.0381      0.0421      0.0267      0.0300    0.75      59      1427 
 0234-301   39.1298725398  -29.8987612382     -0.1298     +0.0418      0.0689      0.1090      0.0654      0.1364    1.89      28       601 
 0235-618   39.2218571319  -61.6042176848     -0.2039     -0.0580      0.0998      0.1084      0.0801      0.2120    2.04      19       135 
 0237+040   39.9635960392   +4.2726143973     +0.0736     +0.0673      0.0595      0.0697      0.0493      0.0997    1.75      27       605 
 0237-027   39.9394678092   -2.5780318151     +0.0061     +0.0515      0.0162      0.0184      0.0124      0.0518    2.83     241      7090 
 0239+108   40.6215452084  +11.0168688824     -0.0597     +0.0198      0.0400      0.0650      0.0393      0.0629    1.49      70       898 
 0239+175   40.6011177675  +17.7163469898     +0.0010     -0.0763      0.0640      0.1077      0.0681      0.0763    0.71      23       662 
 0248+430   42.8939031010  +43.2543970382     +0.0532     +0.1267      0.0574      0.0771      0.0527      0.1374    2.00      14       558 
 0252-549   43.3715849997  -54.6976211249     +0.1336     +0.2214      0.0926      0.1434      0.1014      0.2586    1.81      17        84 
 0254-334   44.1775113838  -33.2559103526     +0.0686     -0.0742      0.2053      0.3151      0.2163      0.1010    0.41       8        70 
 0256+075   44.8628192943   +7.7943452976     +0.1288     +0.1022      0.0489      0.0922      0.0642      0.1644    3.07      39       802 
 0256-005   44.8688173263   -0.3333264877     +0.0065     +0.0104      0.0222      0.0249      0.0165      0.0123    0.51     107      2750 
 0300+470   45.8968426008  +47.2711876332     +0.0359     -0.0011      0.0158      0.0178      0.0124      0.0359    2.28     412     13556 
 0302+625   46.6777481435  +62.7172289342     +0.0025     -0.0176      0.0385      0.0472      0.0251      0.0178    0.38      35      1737 
 0302-623   45.9609640514  -62.1904305887     +0.0823     -0.0922      0.0587      0.0593      0.0447      0.1236    2.26      49       632 
 0306+102   47.2650978935  +10.4878724754     -0.0319     -0.0814      0.0359      0.0385      0.0216      0.0874    2.33      64      1607 
 0307+380   47.7078330185  +38.2482882920     +0.0042     -0.0223      0.0133      0.0175      0.0123      0.0227    1.31     153      7805 
 0308-611   47.4837464535  -60.9775156619     -0.0037     +0.0047      0.0132      0.0158      0.0110      0.0059    0.43     436     14421 
 0309+411   48.2581755068  +41.3336620725     -0.0487     -0.0238      0.0342      0.0418      0.0287      0.0541    1.59      43      1634 
 0312+100   48.8380825545  +10.2119677576     +0.0149     +0.1487      0.1048      0.1245      0.0813      0.1494    1.21      12       300 
 0312-770   47.9802085395  -76.8641245686     -0.7601     +0.1681      0.4582      0.4522      0.2477      0.7784    2.34       5        24 
 0316-444   49.4903310740  -44.2381008612     -0.1439     +0.3326      0.2562      0.5570      0.3816      0.3624    0.71      10       190 
 0317+188   49.9635696590  +19.0253586355     -0.1487     +0.0295      0.0633      0.0825      0.0587      0.1516    2.35      28       676 
 0319+121   50.4712646147  +12.3538760329     -0.0292     -0.1314      0.0400      0.0795      0.0528      0.1346    1.91      40      1025 
 0322+222   51.4033931430  +22.4001015665     -0.0007     +0.0115      0.0105      0.0124      0.0086      0.0115    0.93     291     15177 
 0325+395   52.2096336923  +39.6790461879     -0.0122     -0.0277      0.0604      0.0679      0.0460      0.0303    0.46      16       700 
 0326+278   52.4902892737  +27.9376386577     +0.3454     -0.3064      0.1480      0.1532      0.1043      0.4617    2.62      17       188 
 0332+078   53.7221528467   +8.0040052981     +0.0977     -0.0644      0.0374      0.0537      0.0318      0.1170    2.77     115      2146 
 0332-403   53.5568937125  -40.1403883199     +0.0160     +0.0504      0.0104      0.0141      0.0098      0.0529    3.90     400     23882 
 0334-546   53.9746868260  -54.5069763394     +0.0951     +0.1645      0.0779      0.1127      0.0785      0.1900    1.72      29       225 
 0335-364   54.2250979940  -36.2683955745     +0.5994     -0.0623      0.2418      0.2947      0.1632      0.6026    2.50      11       146 
 0338-214   55.1483660925  -21.3253255710     +0.0738     +0.1220      0.0455      0.0546      0.0377      0.1426    2.74     118      1865 
 0340+362   55.8706350798  +36.3701193796     +0.0588     +0.0547      0.0368      0.0438      0.0296      0.0804    2.03      61      1348 
 0341+158   56.0965506850  +15.9953803210     +0.0886     -0.1937      0.1032      0.1749      0.1158      0.2130    1.37      17       281 
 0342+147   56.2767355678  +14.8970995193     -0.0268     +0.0839      0.0465      0.0618      0.0392      0.0881    1.41      40       951 
 0345+460   57.3280898997  +46.1665716209     -0.0010     +0.0270      0.0163      0.0203      0.0139      0.0270    1.33     120      5531 
 0346-279   57.1589357033  -27.8204349281     -0.0535     -0.0371      0.0360      0.0403      0.0281      0.0651    1.87     105      2210 
 0347-211   57.4909444704  -21.0465948882     -0.0228     -0.0284      0.0384      0.0337      0.0261      0.0365    1.04      89      1557 
 0355-669   58.9495141374  -66.7593937422     -0.2557     -0.1382      0.2399      0.1834      0.1741      0.2907    1.07      12        46 
 0358+210   60.4381919925  +21.1746074985     -0.0359     -0.0191      0.0366      0.0506      0.0346      0.0407    1.06      61      1817 
 0400+258   60.7732753453  +26.0004174483     +0.0188     +0.0601      0.0384      0.0541      0.0377      0.0630    1.27      55      1206 
 0400-319   60.5886083743  -31.7905403912     +0.0973     +0.2275      0.0673      0.0823      0.0575      0.2475    3.26      58       770 
 0402-362   60.9739579194  -36.0838647623     -0.0032     +0.0295      0.0168      0.0250      0.0174      0.0297    1.23     508      6501 
