J001101.2-261233 0008-264 0008-264 D 00 11 01.24673846 -26 12 33.3770171 0.00000660 0.0000936 -0.183 52407.5 47686.1 54768.6   45    592
J001131.9+704531 0008+704 0008+704 V 00 11 31.90287510  70 45 31.6257033 0.00004715 0.0003779  0.007 49827.5 49827.5 49827.5    1    101
J001135.2+082355 0009+081 0009+081 N 00 11 35.26963063  08 23 55.5862723 0.00001305 0.0004120 -0.455 52574.8 49914.7 53609.2    2    100
J001140.4-143404 0009-148 0009-148 V 00 11 40.45590174 -14 34 04.6334014 0.00005088 0.0013275  0.335 54112.8 54112.8 54112.8    1     38
J001229.3+470434 0009+467 0009+467 V 00 12 29.30288583  47 04 34.7396644 0.00007134 0.0013420 -0.445 53573.0 53573.0 53573.0    1     35
J001237.6+655110 0009+655 0009+655 V 00 12 37.67114974  65 51 10.8231614 0.00061629 0.0040160  0.042 53153.2 53153.2 53153.2    1     10
J001247.3+335338 0010+336 0010+336 V 00 12 47.38219736  33 53 38.4717555 0.00004242 0.0008568 -0.582 53503.7 53503.7 53503.7    1     41
J001259.9-395426 0010-401 0010-401 V 00 12 59.90983609 -39 54 26.0561624 0.00002580 0.0007151  0.292 52342.6 52306.7 52409.7    2     43
J001316.4+463608 0010+463 0010+463 V 00 13 16.48886274  46 36 08.6707019 0.00011939 0.0013146 -0.611 50306.3 50306.3 50306.3    1     37
J001320.7-151347 0010-155 0010-155 V 00 13 20.70183091 -15 13 47.7818949 0.00009114 0.0033808 -0.369 54088.1 54088.1 54088.1    1     16
J001331.1+405137 0010+405 0010+405 D 00 13 31.13020334  40 51 37.1441040 0.00000482 0.0000683 -0.139 51619.2 48434.7 54713.7   22   1083
J001354.1-042352 0011-046 0011-046 V 00 13 54.13096496 -04 23 52.2943757 0.00001228 0.0004318 -0.337 50576.2 50576.2 50576.2    1     88
J001356.3+191041 0011+189 0011+189 V 00 13 56.37611420  19 10 41.9154122 0.00003786 0.0011536 -0.101 50109.4 50085.5 50156.3    2     77
J001448.7+611743 0012+610 0012+610 V 00 14 48.79215207  61 17 43.5420962 0.00009715 0.0007133  0.480 52409.7 52409.7 52409.7    1     18
J001502.4-181250 0012-184 0012-184 V 00 15 02.49204541 -18 12 50.8832442 0.00001225 0.0003974  0.266 50657.1 50632.3 50688.3    2    131
J001506.1+321613 0012+319 0012+319 V 00 15 06.14740520  32 16 13.3097781 0.00001845 0.0004743 -0.219 53523.9 53523.9 53523.9    1     86
J001534.3-180725 0013-184 0013-184 V 00 15 34.32451170 -18 07 25.5821027 0.00010906 0.0031332 -0.600 54112.8 54112.8 54112.8    1     20
J001611.0-001512 0013-005 0013-005 D 00 16 11.08855479 -00 15 12.4453413 0.00000435 0.0001005 -0.235 50403.0 47394.1 51492.8   67    716
J001708.4+813508 0014+813 0014+813 N 00 17 08.47492105  81 35 08.1365288 0.00008598 0.0002624  0.000 50567.9 47023.3 54112.5 1185  61191
J001735.8-051241 0015-054 0015-054 V 00 17 35.81721774 -05 12 41.7681233 0.00003100 0.0010185 -0.363 53561.9 53561.9 53561.9    1     54
J001751.7+531219 0015+529 0015+529 V 00 17 51.75984325  53 12 19.1217239 0.00005577 0.0006435 -0.336 49577.0 49577.0 49577.0    1     77
J001759.0-274821 0015-280 0015-280 V 00 17 59.00583249 -27 48 21.5745659 0.00019196 0.0050280  0.495 53573.0 53573.0 53573.0    1     33
J001937.8+202145 0017+200 0017+200 N 00 19 37.85450158  20 21 45.6446718 0.00000655 0.0001138 -0.040 51210.3 50085.5 53609.2    5    356
J001939.7+260252 0017+257 0017+257 V 00 19 39.78058269  26 02 52.2784459 0.00001847 0.0005741 -0.290 50219.8 50219.8 50219.8    1     74
J001942.6-303119 0017-307 0017-307 V 00 19 42.67532353 -30 31 19.3482183 0.00002313 0.0007599  0.087 52306.7 52306.7 52306.7    1     47
J001945.7+732730 0016+731 0016+731 D 00 19 45.78641940  73 27 30.0174396 0.00000989 0.0000424 -0.050 49249.8 44343.6 54865.7  458  25038
J002102.8+715020 0018+715 0018+715 V 00 21 02.81374705  71 50 20.7710670 0.00022806 0.0017525 -0.546 49827.5 49827.5 49827.5    1     31
J002127.3+731241 0018+729 0018+729 V 00 21 27.37482251  73 12 41.9312197 0.00045308 0.0015436  0.242 53041.4 49827.5 54112.8    2     24
J002206.6+452533 0019+451 0019+451 V 00 22 06.61132885  45 25 33.8601981 0.00002540 0.0004858  0.034 50306.3 50306.3 50306.3    1     81
J002225.4+001456 0019-000 0019-000 V 00 22 25.42593021  00 14 56.1613786 0.00009584 0.0028576 -0.190 50576.2 50576.2 50576.2    1     18
J002232.4+060804 0019+058 0019+058 D 00 22 32.44120914  06 08 04.2690807 0.00000439 0.0000956 -0.237 52705.8 47394.1 54880.7   42    800
J002335.4+445635 0020+446 0020+446 V 00 23 35.44245528  44 56 35.7573595 0.00004493 0.0010439  0.382 50306.3 50306.3 50306.3    1     51
J002400.6-081110 0021-084 0021-084 V 00 24 00.67272891 -08 11 10.0486110 0.00007063 0.0021062 -0.260 53440.2 53153.2 53523.9    2     31
J002421.5+464406 0021+464 0021+464 V 00 24 21.53760346  46 44 06.2285494 0.00004496 0.0012365  0.148 50306.3 50306.3 50306.3    1     54
J002427.3+243926 0021+243 0021+243 N 00 24 27.33054544  24 39 26.2295755 0.00001415 0.0002517 -0.039 52670.8 52409.7 53307.8   11    115
J002442.9-420203 0022-423 0022-423 N 00 24 42.98977943 -42 02 03.9479276 0.00006971 0.0013214 -0.582 51518.2 48162.4 53131.8    8     37
