0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
915474414.386992 0.1442 62401422.826478 0.8274
0.000000 10000000000.0000 0.000000 10000000000.0000
915474408.512771 0.1467 62401424.181191 0.4483
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
915474412.850700 0.0859 62401423.529152 0.1570
0.000000 10000000000.0000 0.000000 10000000000.0000
915474413.167013 1.1118 62401423.982270 0.7916
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
0.000000 10000000000.0000 0.000000 10000000000.0000
915474412.216726 0.1257 62401424.057152 0.3143
915474413.799035 0.1085 62401422.775310 0.1621
915474413.173464 0.2168 62401423.493899 0.2887
915474412.085399 0.0719 62401423.961276 0.1449
915474412.445287 0.1387 62401423.578110 0.2334
915474412.211214 0.1373 62401423.648747 0.2781
0.000000 10000000000.0000 0.000000 10000000000.0000
